date,city,cases,country
2021-01-25,Winnipeg,38,Canada
2021-01-26,Winnipeg,37,Canada
2021-01-27,Winnipeg,31,Canada
2021-01-28,Winnipeg,30,Canada
2021-01-29,Winnipeg,44,Canada
2021-01-30,Winnipeg,27,Canada
2021-01-31,Winnipeg,23,Canada
2021-02-01,Winnipeg,19,Canada
2021-02-02,Winnipeg,29,Canada
2021-02-03,Winnipeg,28,Canada
2021-02-04,Winnipeg,32,Canada
2021-02-05,Winnipeg,39,Canada
2021-02-06,Winnipeg,28,Canada
2021-02-07,Winnipeg,30,Canada
2021-02-08,Winnipeg,51,Canada
2021-02-09,Winnipeg,18,Canada
2021-02-10,Winnipeg,25,Canada
2021-02-11,Winnipeg,23,Canada
2021-02-12,Winnipeg,41,Canada
2021-02-13,Winnipeg,29,Canada
2021-02-14,Winnipeg,22,Canada
2021-02-15,Winnipeg,39,Canada
2021-02-16,Winnipeg,19,Canada
2021-02-17,Winnipeg,50,Canada
2021-02-18,Winnipeg,37,Canada
2021-02-19,Winnipeg,27,Canada
2021-02-20,Winnipeg,24,Canada
2021-02-21,Winnipeg,63,Canada
2021-02-22,Winnipeg,36,Canada
2021-02-23,Winnipeg,22,Canada
2021-02-24,Winnipeg,30,Canada
2021-02-25,Winnipeg,22,Canada
2021-02-26,Winnipeg,37,Canada
2021-02-27,Winnipeg,23,Canada
2021-02-28,Winnipeg,19,Canada
2021-03-01,Winnipeg,21,Canada
2021-03-02,Winnipeg,16,Canada
2021-03-03,Winnipeg,19,Canada
2021-03-04,Winnipeg,13,Canada
2021-03-05,Winnipeg,20,Canada
2021-03-06,Winnipeg,28,Canada
2021-03-07,Winnipeg,26,Canada
2021-03-08,Winnipeg,24,Canada
2021-03-09,Winnipeg,22,Canada
2021-03-10,Winnipeg,29,Canada
2021-03-11,Winnipeg,33,Canada
2021-03-12,Winnipeg,28,Canada
2021-03-13,Winnipeg,24,Canada
2021-03-14,Winnipeg,39,Canada
2021-03-15,Winnipeg,22,Canada
2021-03-16,Winnipeg,42,Canada
2021-03-17,Winnipeg,35,Canada
2021-03-18,Winnipeg,39,Canada
2021-03-19,Winnipeg,28,Canada
2021-03-20,Winnipeg,43,Canada
2021-03-21,Winnipeg,48,Canada
2021-03-22,Winnipeg,45,Canada
2021-03-23,Winnipeg,35,Canada
2021-03-24,Winnipeg,47,Canada
2021-03-25,Winnipeg,49,Canada
2021-03-26,Winnipeg,28,Canada
2021-03-27,Winnipeg,31,Canada
2021-03-28,Winnipeg,25,Canada
2021-03-29,Winnipeg,33,Canada
2021-03-30,Winnipeg,37,Canada
2021-03-31,Winnipeg,29,Canada
2021-04-01,Winnipeg,51,Canada
2021-04-02,Winnipeg,35,Canada
2021-04-03,Winnipeg,23,Canada
2021-04-04,Winnipeg,43,Canada
2021-04-05,Winnipeg,36,Canada
2021-04-06,Winnipeg,55,Canada
2021-04-07,Winnipeg,54,Canada
2021-04-08,Winnipeg,84,Canada
2021-04-09,Winnipeg,66,Canada
2021-04-10,Winnipeg,69,Canada
2021-04-11,Winnipeg,75,Canada
2021-04-12,Winnipeg,68,Canada
2021-04-13,Winnipeg,53,Canada
2021-04-14,Winnipeg,72,Canada
2021-04-15,Winnipeg,60,Canada
2021-04-16,Winnipeg,120,Canada
2021-04-17,Winnipeg,99,Canada
2021-04-18,Winnipeg,62,Canada
2021-04-19,Winnipeg,135,Canada
2021-04-20,Winnipeg,70,Canada
2021-04-21,Winnipeg,155,Canada
2021-04-22,Winnipeg,103,Canada
2021-04-23,Winnipeg,185,Canada
2021-04-24,Winnipeg,201,Canada
2021-04-25,Winnipeg,159,Canada
2021-04-26,Winnipeg,152,Canada
2021-04-27,Winnipeg,135,Canada
2021-04-28,Winnipeg,165,Canada
2021-04-29,Winnipeg,189,Canada
2021-04-30,Winnipeg,201,Canada
2021-05-01,Winnipeg,174,Canada
2021-05-02,Winnipeg,177,Canada
2021-05-03,Winnipeg,211,Canada
2021-05-04,Winnipeg,185,Canada
2021-05-05,Winnipeg,281,Canada
2021-05-06,Winnipeg,364,Canada
2021-05-07,Winnipeg,406,Canada
2021-05-08,Winnipeg,393,Canada
2021-05-09,Winnipeg,419,Canada
2021-05-10,Winnipeg,257,Canada
2021-05-11,Winnipeg,204,Canada
2021-05-12,Winnipeg,452,Canada
2021-05-13,Winnipeg,311,Canada
2021-05-14,Winnipeg,334,Canada
2021-05-15,Winnipeg,329,Canada
2021-05-16,Winnipeg,307,Canada
2021-05-17,Winnipeg,280,Canada
2021-05-18,Winnipeg,242,Canada
2021-05-19,Winnipeg,403,Canada
2021-05-20,Winnipeg,414,Canada
2021-05-21,Winnipeg,350,Canada
2021-05-22,Winnipeg,267,Canada
2021-05-23,Winnipeg,290,Canada
2021-05-24,Winnipeg,173,Canada
2021-05-25,Winnipeg,232,Canada
2021-05-26,Winnipeg,186,Canada
2021-05-27,Winnipeg,306,Canada
2021-05-28,Winnipeg,236,Canada
2021-05-29,Winnipeg,180,Canada
2021-05-30,Winnipeg,232,Canada
2021-05-31,Winnipeg,161,Canada
2021-06-01,Winnipeg,191,Canada
2021-06-02,Winnipeg,226,Canada
2021-06-03,Winnipeg,198,Canada
2021-06-04,Winnipeg,153,Canada
2021-06-05,Winnipeg,147,Canada
2021-06-06,Winnipeg,112,Canada
2021-06-07,Winnipeg,139,Canada
2021-06-08,Winnipeg,129,Canada
2021-06-09,Winnipeg,140,Canada
2021-06-10,Winnipeg,132,Canada
2021-06-11,Winnipeg,149,Canada
2021-06-12,Winnipeg,112,Canada
2021-06-13,Winnipeg,76,Canada
2021-06-14,Winnipeg,59,Canada
2021-06-15,Winnipeg,75,Canada
2021-06-16,Winnipeg,77,Canada
2021-06-17,Winnipeg,69,Canada
2021-06-18,Winnipeg,54,Canada
2021-06-19,Winnipeg,45,Canada
2021-06-20,Winnipeg,54,Canada
2021-06-21,Winnipeg,31,Canada
2021-06-22,Winnipeg,64,Canada
2021-06-23,Winnipeg,55,Canada
2021-06-24,Winnipeg,47,Canada
2021-06-25,Winnipeg,44,Canada
2021-06-26,Winnipeg,49,Canada
2021-06-27,Winnipeg,27,Canada
