date,cases,city,country
2022-01-26,4756,Bern,Switzerland
2022-01-27,4499,Bern,Switzerland
2022-01-28,4468,Bern,Switzerland
2022-01-29,2774,Bern,Switzerland
2022-01-30,2228,Bern,Switzerland
2022-01-31,5482,Bern,Switzerland
2022-02-01,4637,Bern,Switzerland
2022-02-02,4396,Bern,Switzerland
2022-02-03,3607,Bern,Switzerland
2022-02-04,3436,Bern,Switzerland
2022-02-05,2456,Bern,Switzerland
2022-02-06,1876,Bern,Switzerland
2022-02-07,4038,Bern,Switzerland
2022-02-08,3516,Bern,Switzerland
2022-02-09,3392,Bern,Switzerland
2022-02-10,2720,Bern,Switzerland
2022-02-11,2623,Bern,Switzerland
2022-02-12,1863,Bern,Switzerland
2022-02-13,1485,Bern,Switzerland
2022-02-14,3146,Bern,Switzerland
2022-02-15,2739,Bern,Switzerland
2022-02-16,2549,Bern,Switzerland
2022-02-17,1906,Bern,Switzerland
2022-02-18,2014,Bern,Switzerland
2022-02-19,1446,Bern,Switzerland
2022-02-20,1299,Bern,Switzerland
2022-02-21,2762,Bern,Switzerland
2022-02-22,2614,Bern,Switzerland
