date,city,cases,country
2021-06-14,San Martin,88,Peru
2021-06-15,San Martin,116,Peru
2021-06-16,San Martin,64,Peru
2021-06-17,San Martin,78,Peru
2021-06-18,San Martin,59,Peru
2021-06-19,San Martin,78,Peru
2021-06-20,San Martin,14,Peru
2021-06-21,San Martin,92,Peru
2021-06-22,San Martin,88,Peru
2021-06-23,San Martin,67,Peru
2021-06-24,San Martin,31,Peru
2021-06-25,San Martin,77,Peru
2021-06-26,San Martin,52,Peru
2021-06-27,San Martin,20,Peru
2021-06-28,San Martin,45,Peru
2021-06-29,San Martin,20,Peru
2021-06-30,San Martin,78,Peru
2021-07-01,San Martin,54,Peru
2021-07-02,San Martin,40,Peru
2021-07-03,San Martin,66,Peru
2021-07-04,San Martin,24,Peru
2021-07-05,San Martin,62,Peru
2021-07-06,San Martin,57,Peru
2021-07-07,San Martin,70,Peru
2021-07-08,San Martin,54,Peru
2021-07-09,San Martin,39,Peru
2021-07-10,San Martin,36,Peru
2021-07-11,San Martin,30,Peru
2021-07-12,San Martin,57,Peru
2021-07-13,San Martin,53,Peru
2021-07-14,San Martin,66,Peru
2021-07-15,San Martin,50,Peru
2021-07-16,San Martin,46,Peru
2021-07-17,San Martin,51,Peru
2021-07-18,San Martin,26,Peru
2021-07-19,San Martin,42,Peru
2021-07-20,San Martin,70,Peru
2021-07-21,San Martin,52,Peru
2021-07-22,San Martin,48,Peru
2021-07-23,San Martin,44,Peru
2021-07-24,San Martin,41,Peru
2021-07-25,San Martin,12,Peru
2021-07-26,San Martin,50,Peru
2021-07-27,San Martin,48,Peru
2021-07-28,San Martin,20,Peru
2021-07-29,San Martin,12,Peru
2021-07-30,San Martin,49,Peru
2021-07-31,San Martin,27,Peru
2021-08-01,San Martin,4,Peru
2021-08-02,San Martin,50,Peru
2021-08-03,San Martin,45,Peru
2021-08-04,San Martin,33,Peru
2021-08-05,San Martin,31,Peru
2021-08-06,San Martin,23,Peru
2021-08-07,San Martin,23,Peru
2021-08-08,San Martin,16,Peru
2021-08-09,San Martin,30,Peru
2021-08-10,San Martin,30,Peru
2021-08-11,San Martin,35,Peru
2021-08-12,San Martin,35,Peru
2021-08-13,San Martin,25,Peru
2021-08-14,San Martin,30,Peru
2021-08-15,San Martin,10,Peru
