"regionname","date","cases"
"Queensland",2020-03-23,319
"South Australia",2020-03-23,134
"Tasmania",2020-03-23,28
"Victoria",2020-03-23,355
"Western Australia",2020-03-23,140
"Australian Capital Territory",2020-03-24,39
"New South Wales",2020-03-24,818
"Northern Territory",2020-03-24,6
"Queensland",2020-03-24,397
"South Australia",2020-03-24,170
"Tasmania",2020-03-24,28
"Victoria",2020-03-24,411
"Western Australia",2020-03-24,175
"Australian Capital Territory",2020-03-25,39
"New South Wales",2020-03-25,1029
"Northern Territory",2020-03-25,6
"Queensland",2020-03-25,443
"South Australia",2020-03-25,170
"Tasmania",2020-03-25,36
"Victoria",2020-03-25,466
"Western Australia",2020-03-25,175
"Australian Capital Territory",2020-03-26,53
"New South Wales",2020-03-26,1219
"Northern Territory",2020-03-26,12
"Queensland",2020-03-26,493
"South Australia",2020-03-26,235
"Tasmania",2020-03-26,47
"Victoria",2020-03-26,520
"Western Australia",2020-03-26,231
"Australian Capital Territory",2020-03-27,62
"New South Wales",2020-03-27,1405
"Northern Territory",2020-03-27,12
"Queensland",2020-03-27,555
"South Australia",2020-03-27,257
"Tasmania",2020-03-27,47
"Victoria",2020-03-27,574
"Western Australia",2020-03-27,231
"Australian Capital Territory",2020-03-28,71
"New South Wales",2020-03-28,1617
"Northern Territory",2020-03-28,15
"Queensland",2020-03-28,625
"South Australia",2020-03-28,287
"Tasmania",2020-03-28,62
"Victoria",2020-03-28,685
"Western Australia",2020-03-28,278
"Australian Capital Territory",2020-03-29,77
"New South Wales",2020-03-29,1791
"Northern Territory",2020-03-29,15
"Queensland",2020-03-29,656
"South Australia",2020-03-29,299
"Tasmania",2020-03-29,66
"Victoria",2020-03-29,769
"Western Australia",2020-03-29,311
"Australian Capital Territory",2020-03-30,78
"New South Wales",2020-03-30,2032
"Northern Territory",2020-03-30,15
"Queensland",2020-03-30,689
"South Australia",2020-03-30,305
"Tasmania",2020-03-30,66
"Victoria",2020-03-30,821
"Western Australia",2020-03-30,355
"Australian Capital Territory",2020-03-31,80
"New South Wales",2020-03-31,2032
"Northern Territory",2020-03-31,17
"Queensland",2020-03-31,743
"South Australia",2020-03-31,337
"Tasmania",2020-03-31,69
