"date","regionname","cases"
2021-02-25,"Scotland",769
2021-02-24,"Scotland",798
2021-02-23,"Scotland",655
2021-02-22,"Scotland",715
2021-02-21,"Scotland",827
2021-02-20,"Scotland",803
2021-02-19,"Scotland",885
2021-02-18,"Scotland",685
2021-02-17,"Scotland",1121
2021-02-16,"Scotland",773
2021-02-15,"Scotland",559
2021-02-14,"Scotland",903
2021-02-13,"Scotland",908
2021-02-12,"Scotland",830
2021-02-11,"Scotland",830
2021-02-10,"Scotland",803
2021-02-09,"Scotland",822
2021-02-08,"Scotland",928
2021-02-07,"Scotland",584
2021-02-06,"Scotland",895
2021-02-05,"Scotland",895
2021-02-04,"Scotland",1149
2021-02-03,"Scotland",978
2021-02-02,"Scotland",758
2021-02-01,"Scotland",848
2021-01-31,"Scotland",1003
2021-01-30,"Scotland",994
2021-01-29,"Scotland",1155
2021-01-28,"Scotland",1201
2021-01-27,"Scotland",1330
2021-01-26,"Scotland",1049
2021-01-25,"Scotland",752
2021-01-24,"Scotland",1195
2021-01-23,"Scotland",1307
2021-01-22,"Scotland",1480
2021-01-21,"Scotland",1636
2021-01-20,"Scotland",1656
2021-01-19,"Scotland",1165
2021-01-18,"Scotland",1429
2021-01-17,"Scotland",1341
2021-01-16,"Scotland",1753
2021-01-15,"Scotland",2160
2021-01-14,"Scotland",1707
2021-01-13,"Scotland",1949
2021-01-12,"Scotland",1875
2021-01-11,"Scotland",1782
2021-01-10,"Scotland",1877
2021-01-09,"Scotland",1865
2021-01-08,"Scotland",2309
2021-01-07,"Scotland",2649
2021-01-06,"Scotland",2039
2021-01-05,"Scotland",2529
2021-01-04,"Scotland",1905
2021-01-03,"Scotland",2464
2021-01-02,"Scotland",2137
2021-01-01,"Scotland",2539
2020-12-31,"Scotland",2622
2020-12-30,"Scotland",2045
2020-12-29,"Scotland",1895
2020-12-28,"Scotland",967
2020-12-27,"Scotland",740
2020-12-26,"Scotland",1149
2020-12-25,"Scotland",1165
2020-12-24,"Scotland",1314
2020-12-23,"Scotland",1190
2020-12-22,"Scotland",1316
