"date","regionname","cases"
2020-12-09,"West Malaysia",755
2020-12-10,"East Malaysia",275
2020-12-10,"West Malaysia",1959
2020-12-11,"East Malaysia",541
2020-12-11,"West Malaysia",1269
2020-12-12,"East Malaysia",441
2020-12-12,"West Malaysia",1496
2020-12-13,"East Malaysia",339
2020-12-13,"West Malaysia",890
2020-12-14,"East Malaysia",299
2020-12-14,"West Malaysia",1072
2020-12-15,"East Malaysia",271
2020-12-15,"West Malaysia",1501
2020-12-16,"East Malaysia",271
2020-12-16,"West Malaysia",1024
2020-12-17,"East Malaysia",209
2020-12-17,"West Malaysia",1011
2020-12-18,"East Malaysia",280
2020-12-18,"West Malaysia",1403
2020-12-19,"East Malaysia",220
2020-12-19,"West Malaysia",933
2020-12-20,"East Malaysia",226
2020-12-20,"West Malaysia",1114
2020-12-21,"East Malaysia",276
2020-12-21,"West Malaysia",1742
2020-12-22,"East Malaysia",254
2020-12-22,"West Malaysia",1808
2020-12-23,"East Malaysia",195
2020-12-23,"West Malaysia",1153
2020-12-24,"East Malaysia",277
2020-12-24,"West Malaysia",1304
2020-12-25,"East Malaysia",236
2020-12-25,"West Malaysia",1011
2020-12-26,"East Malaysia",270
2020-12-26,"West Malaysia",2065
2020-12-27,"East Malaysia",201
2020-12-27,"West Malaysia",995
2020-12-28,"East Malaysia",159
2020-12-28,"West Malaysia",1435
2020-12-29,"East Malaysia",234
2020-12-29,"West Malaysia",1691
2020-12-30,"East Malaysia",283
2020-12-30,"West Malaysia",1587
2020-12-31,"East Malaysia",364
2020-12-31,"West Malaysia",2161
2021-01-01,"East Malaysia",265
2021-01-01,"West Malaysia",1803
2021-01-02,"East Malaysia",265
2021-01-02,"West Malaysia",2030
2021-01-03,"East Malaysia",342
2021-01-03,"West Malaysia",1362
2021-01-04,"East Malaysia",312
2021-01-04,"West Malaysia",1429
2021-01-05,"East Malaysia",433
2021-01-05,"West Malaysia",1594
2021-01-06,"East Malaysia",419
2021-01-06,"West Malaysia",2174
2021-01-07,"East Malaysia",510
2021-01-07,"West Malaysia",2517
2021-01-08,"East Malaysia",423
2021-01-08,"West Malaysia",2220
2021-01-09,"East Malaysia",468
2021-01-09,"West Malaysia",1983
2021-01-10,"East Malaysia",444
2021-01-10,"West Malaysia",1989
2021-01-11,"East Malaysia",535
2021-01-11,"West Malaysia",1697
2021-01-12,"East Malaysia",570
2021-01-12,"West Malaysia",2739
2021-01-13,"East Malaysia",616
2021-01-13,"West Malaysia",2369
2021-01-14,"East Malaysia",603
2021-01-14,"West Malaysia",2734
2021-01-15,"East Malaysia",583
2021-01-15,"West Malaysia",2628
2021-01-16,"East Malaysia",535
2021-01-16,"West Malaysia",3494
2021-01-17,"East Malaysia",477
2021-01-17,"West Malaysia",2862
2021-01-18,"East Malaysia",546
2021-01-18,"West Malaysia",2760
2021-01-19,"East Malaysia",683
2021-01-19,"West Malaysia",2948
2021-01-20,"East Malaysia",610
2021-01-20,"West Malaysia",3398
2021-01-21,"East Malaysia",565
2021-01-21,"West Malaysia",2605
2021-01-22,"East Malaysia",711
2021-01-22,"West Malaysia",2920
2021-01-23,"East Malaysia",694
2021-01-23,"West Malaysia",3581
2021-01-24,"East Malaysia",735
2021-01-24,"West Malaysia",2611
